Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-BIAHPV1P-23AU000643,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000206518&_xt=AER&_xf=pdf""> AER </a>",2023-07-25 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,"Semintra 4 mg/ml  - Oral solution, Solensia 7 mg/ml - Solution for injection",Sleepiness - systemic disorder,1,1,
AUS-NORBROOK-2023-AU-NOR-00007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000128614&_xt=AER&_xf=pdf""> AER </a>",2023-02-16 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),"Solensia 7 mg/ml - Solution for injection, Thyronorm 5 mg/ml Oral Solution for Cats","Dermatitis, Eczema, Pruritus",1,1,
AUS-ZOETISPV-2022-AU-00779,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000116599&_xt=AER&_xf=pdf""> AER </a>",2023-01-17 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,"Felimazole 1,25 mg comprimidos revestidos para gatos, Felimazole 1.25 mg Coated tablets for cats, Felimazole 2,5 mg comprimidos revestidos para gatos, Felimazole 2.5 mg Coated Tablets for Cats, Felimazole 5 mg Coated Tablets for Cats, Felimazole 5 mg/ml oral solution for cats, Felimazole Vet. 2,5 mg overtrukne tabletter, Felimazole Vet., 2,5 mg, Dragerad tablett, Solensia 7 mg/ml - Solution for injection","Alopecia local, Cough, Localised itching, Skin lesion NOS",1,1,
AUS-ZOETISPV-2022-AU-00988,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000204676&_xt=AER&_xf=pdf""> AER </a>",2023-07-21 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,"DFV DOXIVET 200 mg/ml, solution for use in drinking water for pigs and chickens, DFV DOXIVET 500 mg/g, powder for use in drinking water for pigs and chickens, Doxycycline 100 mg tablet, voor honden en katten, Doxycycline 15 mg tabletten voor honden en katten, Doxycycline 20% W.O., Doxycycline 20% W.O. poeder voor toediening via drinkwater voor vleeskuikens, Doxycycline 50% WSP, Doxycycline 500 mg/kg, poeder voor gebruik in drinkwater voor varken en kip, Doxycycline 75 mg tabletten voor honden, Doxycycline tabletten 20 mg voor honden en katten, Prednisolone 1% 10 mg/ml Oplossing voor injectie, Prednisolone 2,5% suspensie voor injectie voor honden, Prednisolone 2.5 % Oplossing voor injectie, Solensia 7 mg/ml - Solution for injection, Доксициклин 20% водоразтворим прах, Доксициклин 200 водоразтворим прах","Diarrhoea, Faecal incontinence",1,1,
AUS-ZOETISPV-2022-AU-01022,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000203635&_xt=AER&_xf=pdf""> AER </a>",2023-07-19 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Ear twitching, Elevated alanine aminotransferase (ALT), Elevated serum alkaline phosphatase (ALP), Inappetence, Tachycardia, Tachypnoea",1,1,
AUS-ZOETISPV-2022-AU-01072,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000116606&_xt=AER&_xf=pdf""> AER </a>",2023-01-17 00:00:00,Veterinarian,Australia,MALE,Cat,Bengal,Solensia 7 mg/ml - Solution for injection,"Anaemia NOS, Death by euthanasia, Decreased haemoglobin, Decreased packed cell volume (PCV), Elevated triglyceride, Generalised skin slough, Hypernatremia, Inappetence, Leucocytosis NOS, Lipaemia, Low alanine aminotransferase (ALT), Low thyroxine (T4), Neutrophilia, Sunken eyes, Weight loss",1,1,1
AUS-ZOETISPV-2022-AU-01144,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000169560&_xt=AER&_xf=pdf""> AER </a>",2023-05-17 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Abnormal red blood cell, Anaemia NOS, Behavioural disorder NOS, Death, Decreased haematocrit, Decreased haemoglobin, Elevated blood urea nitrogen (BUN), Eosinopenia, Immune mediated haemolytic anaemia, Increased percentage reticulocytes, Intestinal disorder NOS, Lethargy (see also Central nervous system depression in Neurological), Mental confusion, Polyphagia, Scratching, Skin lesion NOS, Thrombocytopenia, Twitching",1,1,1
AUS-ZOETISPV-2022-AU-01157,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000204671&_xt=AER&_xf=pdf""> AER </a>",2023-07-21 00:00:00,Veterinarian,Australia,MALE,Cat,Ragdoll,Solensia 7 mg/ml - Solution for injection,"Alopecia general, Boil, Dermatitis",1,1,
AUS-ZOETISPV-2022-AU-01158,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000228010&_xt=AER&_xf=pdf""> AER </a>",2023-09-05 00:00:00,Veterinarian,Australia,MALE,Cat,Rex - Devon,Solensia 7 mg/ml - Solution for injection,Urinary incontinence,1,1,
AUS-ZOETISPV-2022-AU-01181,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000114640&_xt=AER&_xf=pdf""> AER </a>",2023-01-11 00:00:00,Animal owner,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Alopecia, Anorexia, Crust, Death by euthanasia, Decreased appetite, Depression, Electrolyte disorder, Elevated creatine-kinase (CK), Elevated creatinine, Elevated haematocrit, Elevated liver enzymes NOS, Elevated total bilirubin, Elevated triglyceride, Eosinopenia, Hiding, Hypoalbuminaemia, Hypochloraemia, Inappetence, Lethargy (see also Central nervous system depression in Neurological), Lymphopenia, Moist dermatitis, Open mouth breathing, Pain NOS, Partial lack of efficacy, Pruritus, Red blood cell disorder, Restlessness, Scratching, Self trauma, Uncomfortable",1,1,1
AUS-ZOETISPV-2022-AU-01229,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000118803&_xt=AER&_xf=pdf""> AER </a>",2023-01-19 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,Lack of efficacy - NOS,1,1,
AUS-ZOETISPV-2022-AU-01247,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000125310&_xt=AER&_xf=pdf""> AER </a>",2023-02-09 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Alopecia local, Ear canal inflammation, Ear discharge, Ear infection NOS, Itchy ears, Localised itching, Skin lesion NOS, Skin scab",1,1,
AUS-ZOETISPV-2022-AU-01257,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000118746&_xt=AER&_xf=pdf""> AER </a>",2023-01-19 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Grand mal seizure, Seizure NOS",1,1,
AUS-ZOETISPV-2022-AU-01259,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000113020&_xt=AER&_xf=pdf""> AER </a>",2023-01-06 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Behavioural disorder NOS, Not himself/herself, Vocalisation",1,1,
AUS-ZOETISPV-2022-AU-01264,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000118761&_xt=AER&_xf=pdf""> AER </a>",2023-01-19 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,1,1,
AUS-ZOETISPV-2022-AU-01265,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000116603&_xt=AER&_xf=pdf""> AER </a>",2023-01-17 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,"Prednisolone 1% 10 mg/ml Oplossing voor injectie, Prednisolone 2,5% suspensie voor injectie voor honden, Prednisolone 2.5 % Oplossing voor injectie, Solensia 7 mg/ml - Solution for injection","Dehydration, Elevated renal parameters, Enteritis, Hypertension, Lethargy (see also Central nervous system depression in Neurological), Partial lack of efficacy",1,1,
AUS-ZOETISPV-2022-AU-01267,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000122580&_xt=AER&_xf=pdf""> AER </a>",2023-02-01 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Alopecia local, Licking, Pruritus, Scratching",1,1,
AUS-ZOETISPV-2022-AU-01271,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000118808&_xt=AER&_xf=pdf""> AER </a>",2023-01-19 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Abnormal pupil light reflex, Dilated pupils, Eye disorder NOS (for Photophobia see neurological)",1,1,
AUS-ZOETISPV-2022-AU-01287,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000113460&_xt=AER&_xf=pdf""> AER </a>",2023-01-09 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Abnormal breathing, Death by euthanasia, Eye redness, Glazed eye, Hypopyon, Inappetence, Lens opacity, Respiratory signs, Respiratory sound, Uveitis, Vocalisation, Weight loss",1,1,1
AUS-ZOETISPV-2022-AU-01292,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000111800&_xt=AER&_xf=pdf""> AER </a>",2023-01-03 00:00:00,Veterinarian,Australia,FEMALE,Cat,Siamese,Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,1,1,
AUS-ZOETISPV-2022-AU-01305,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000125057&_xt=AER&_xf=pdf""> AER </a>",2023-02-08 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Mediumhair,Solensia 7 mg/ml - Solution for injection,"Crust, Erythema (for urticaria see Immune SOC), Hyperthyroidism, Pruritus, Self trauma, Skin scab, Ulceration NOS",1,1,
AUS-ZOETISPV-2022-AU-01314,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000116080&_xt=AER&_xf=pdf""> AER </a>",2023-01-16 00:00:00,Veterinarian,Australia,MALE,Cat,Ragdoll,Solensia 7 mg/ml - Solution for injection,"Alopecia local, Erythema (for urticaria see Immune SOC), Excessive chewing, licking and/or grooming, Licking, Scratching, Self trauma, Skin scab",1,1,
AUS-ZOETISPV-2022-AU-01318,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000112353&_xt=AER&_xf=pdf""> AER </a>",2023-01-04 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Abnormal cytology, Ear discharge, Excessive ear wax, Otitis externa, Pinnal irritation, Pinnal reddening, Pruritus, Scratching, Skin scab",1,1,
AUS-ZOETISPV-2022-AU-01322,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000111869&_xt=AER&_xf=pdf""> AER </a>",2023-01-03 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Mediumhair,Solensia 7 mg/ml - Solution for injection,"Facial pruritus, Skin scab",1,1,
AUS-ZOETISPV-2022-AU-01328,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000113572&_xt=AER&_xf=pdf""> AER </a>",2023-01-09 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Ataxia, Incoordination, Knuckling, Wobbliness",1,1,
AUS-ZOETISPV-2022-AU-01334,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000112363&_xt=AER&_xf=pdf""> AER </a>",2023-01-04 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Crust, Diarrhoea, Facial pruritus, Haematochezia, Itchy skin, Pruritus, Scratching, Skin lesion NOS, Ulcerative dermatitis, Vomiting",1,1,
AUS-ZOETISPV-2022-AU-01340,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000114703&_xt=AER&_xf=pdf""> AER </a>",2023-01-11 00:00:00,Veterinarian,Australia,MALE,Cat,Russian,Solensia 7 mg/ml - Solution for injection,"Decreased mean corpuscular volume (MCV), Dehydration, Elevated blood urea nitrogen (BUN), Elevated creatinine, Elevated symmetrical dimethylarginine (SDMA), Eosinophilia, Injection site sarcoma, Listless, Quiet",1,1,
AUS-ZOETISPV-2022-AU-01342,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000125064&_xt=AER&_xf=pdf""> AER </a>",2023-02-08 00:00:00,Animal owner,Australia,MALE,Cat,"Birman (Sacred Birman), Ragdoll",Solensia 7 mg/ml - Solution for injection,"Death by euthanasia, Musculoskeletal pain, Pain NOS",1,1,1
AUS-ZOETISPV-2022-AU-01346,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000115140&_xt=AER&_xf=pdf""> AER </a>",2023-01-12 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Solensia 7 mg/ml - Solution for injection","Ataxia, Diarrhoea",1,1,
AUS-ZOETISPV-2022-AU-01351,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000116665&_xt=AER&_xf=pdf""> AER </a>",2023-01-17 00:00:00,Veterinarian,Australia,FEMALE,Cat,Ragdoll,Solensia 7 mg/ml - Solution for injection,Rubbing,1,1,
