Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-BIAHPV1P-24AU000795,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000378110&_xt=AER&_xf=pdf""> AER </a>",2024-06-18 00:00:00,Other,Australia,MALE,Cat,Domestic Shorthair,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Neocort oogdruppels, voor honden en katten, Prevomax 10 mg/ml - Solution for injection, Solensia 7 mg/ml - Solution for injection","Pyoderma, Rash, Scratching, Skin scab, Vomiting",1,1,
AUS-DECHRALT-2024-09909,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000382703&_xt=AER&_xf=pdf""> AER </a>",2024-06-26 00:00:00,Other,Australia,MALE,Cat,Domestic Shorthair,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Neocort oogdruppels, voor honden en katten, Prevomax 10 mg/ml - Solution for injection, Solensia 7 mg/ml - Solution for injection","Hot spot (pyotraumatic dermatitis), Pyoderma, Rash, Scratching, Skin inflammation NOS, Skin scab",1,1,
AUS-FRVIRBAC-VB-20240202-00509,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000315357&_xt=AER&_xf=pdf""> AER </a>",2024-02-28 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,"Convenia 80 mg/ml  - Powder and solvent for solution for injection, MILPRO 12.5 MG/125 MG FILM-COATED TABLETS FOR DOGS, MILPRO 16 MG/40 MG FILM-COATED TABLETS FOR CATS, MILPRO 2.5 MG/25 MG FILM-COATED TABLETS FOR SMALL DOGS AND PUPPIES, MILPRO 4 MG/10 MG FILM-COATED TABLETS FOR SMALL CATS AND KITTENS, Solensia 7 mg/ml - Solution for injection","Abnormal electrocardiogram (ECG), Abnormal radiograph finding, Abnormal ultrasound finding, Anorexia, Azotaemia, Crackles on auscultation, Cyanosis, Death by euthanasia, Dyspnoea, Elevated alanine aminotransferase (ALT), Elevated aspartate aminotransferase (AST), Elevated creatine-kinase (CK), Elevated creatinine, Hyperglycaemia, Hyperphosphataemia, Impaired vision, Isosthenuria, Laboured breathing, Muscle necrosis, Neurological signs NOS, Pleural effusion, Respiratory distress, Shock, Tachypnoea, Thrombocytopenia, Tracheal and laryngeal disorder NOS, Valvular disorder, Weak pulse",1,1,1
AUS-FRVIRBAC-VB-20240521-02320,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000377845&_xt=AER&_xf=pdf""> AER </a>",2024-06-18 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Mediumhair,"Solensia 7 mg/ml - Solution for injection, ZOLETIL 100","Blindness, Heart murmur, Increased heart rate, Lethargy (see also Central nervous system depression in Neurological), Recovery prolonged, Unable to jump",1,1,
AUS-MERCKMSD-2024-AU-00593,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000361207&_xt=AER&_xf=pdf""> AER </a>",2024-05-21 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,"Solensia 7 mg/ml - Solution for injection, Vidalta 10 mg prolonged-release tablets for cats","Elevated creatinine, Erosion, Itching",1,1,
AUS-NORBROOK-2024-AU-NOR-00060,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000425855&_xt=AER&_xf=pdf""> AER </a>",2024-09-10 00:00:00,Animal owner,Australia,MALE,Cat,Domestic Shorthair,"Clomicalm 5 mg - Tablet, Solensia 7 mg/ml - Solution for injection, Thyronorm 5 mg/ml Oral Solution for Cats","Abnormal pupil light reflex, Ataxia, Dilated pupils, Dry eye, Impaired proprioception, Muscle weakness NOS, Not himself/herself, Partial blindness, Quiet, Sleepiness - systemic disorder",1,1,
AUS-OPAHPROD-AU20240008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000391070&_xt=AER&_xf=pdf""> AER </a>",2024-07-10 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Mediumhair,"Cerenia 16 mg  - Tablet, Cerenia 160 mg  - Tablet, Cerenia 24 mg  - Tablet, Cerenia 60 mg - Tablet, Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, Solensia 7 mg/ml - Solution for injection, ZOLETIL 10/10 mg/ml liofilizzato e solvente per soluzione iniettabile per cani e gatti, ZOLETIL 100, ZOLETIL 100 (50 MG/ML + 50 MG/ML) LYOPHILISATE AND SOLVENT FOR SOLUTION FOR INJECTION FOR DOGS AND CATS, ZOLETIL 100 (50 mg/mL + 50 mg/mL), ZOLETIL 100 (50 mg/ml+50 mg/ml) Liofilizado e solvente para solução injetável para cães e gatos, ZOLETIL 100, ΚΟΝΙΣ ΚΑΙ ΔΙΑΛΥΤΗΣ ΓΙΑ ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, ZOLETIL 50, ZOLETIL 50 (25 MG/ML + 25 MG/ML) LYOPHILISATE AND SOLVENT FOR SOLUTION FOR INJECTION FOR DOGS AND CATS, ZOLETIL 50 (25 mg/mL + 25 mg/mL), ZOLETIL 50 (25 mg/ml+25 mg/ml), Liofilisado e Solvente para solução injetável, para cães e gatos, ZOLETIL 50, ΚΟΝΙΣ ΚΑΙ ΔΙΑΛΥΤΗΣ ΓΙΑ ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, ZOLETIL 50/50 mg/ml liofilizzato e solvente per soluzione iniettabile per cani e gatti, Zoletil 100 (50 mg/ml tiletamin és 50 mg/ml zolazepam) liofilizátum és oldószer oldatos injekcióhoz A.U.V., Zoletil 100 - 250 mg Lyophilisat et solvant pour solution injectable, Zoletil 100 250 mg - 250 mg Lyophilisat et solvant pour solution injectable, Zoletil 100 Vet. 50 + 50 mg/ml pulver og solvens til injektionsvæske, opløsning, Zoletil 100 Vet. pulver og solvens til injektionsvæske, opløsning 50 + 50 mg/ml, Zoletil 100 liofilizāts un šķīdinātājs šķīduma injekcijām pagatavošanai suņiem un kaķiem, Zoletil 100 lyofilizát a rozpúšťadlo na prípravu injekčného roztoku, Zoletil 100, 250 mg + 250 mg, liofilizatas ir tirpiklis injekciniam tirpalui ruošti šunims ir katėms, Zoletil 100, süstelahuse pulber ja lahusti, koertele ja kassidele, Zoletil 50 (25 mg/ml tiletamin és 25 mg/ml zolazepam) liofilizatum és oldószer oldatos injekcióhoz A.U.V., Zoletil 50 - 125 mg Lyophilisat et solvant pour solution injectable, Zoletil 50 125 mg - 125 mg Lyofilisaat en oplosmiddel voor oplossing voor injectie, Zoletil 50 Vet. 25 + 25 mg/ml pulver og solvens til injektionsvæske, opløsning, Zoletil 50 liofilizāts un šķīdinātājs šķīduma injekcijām pagatavošanai suņiem un kaķiem, Zoletil 50 lyofilizát a rozpúšťadlo na prípravu injekčného roztoku, Zoletil 50, 125 mg + 125 mg, liofilizatas ir tirpiklis injekciniam tirpalui ruošti šunims ir katėms, Zoletil 50, süstelahuse pulber ja lahusti, koertele ja kassidele, Zoletil Vet pulver og væske til injeksjonsvæske, oppløsning, Zoletil, 100, Prášek a rozpouštědlo pro injekční roztok, Zoletil, 50, Prášek a rozpouštědlo pro injekční roztok, ЗОЛЕТИЛ  50, ЗОЛЕТИЛ 100","Blood in vomit, Congestive heart failure, Death by euthanasia, Decreased haematocrit, Decreased haemoglobin, Elevated gamma-glutamyl transferase (GGT), Elevated symmetrical dimethylarginine (SDMA), High blood pressure, Hypokalaemia, Leucocytosis NOS, Neutrophilia, Respiratory tract disorder NOS, Urolithiasis",1,1,1
AUS-ZOETISPV-2023-AU-01557,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000295709&_xt=AER&_xf=pdf""> AER </a>",2024-01-18 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Crust, Excoriation, Pruritic rash, Pruritus",1,1,
AUS-ZOETISPV-2023-AU-01571,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000295716&_xt=AER&_xf=pdf""> AER </a>",2024-01-18 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Scratching, Self trauma",1,1,
AUS-ZOETISPV-2023-AU-01591,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000330235&_xt=AER&_xf=pdf""> AER </a>",2024-03-27 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Dermatitis, Pruritus",1,1,
