Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
ARE-ZOETISPV-2025-AE-00001,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000507460&_xt=AER&_xf=pdf""> AER </a>",2025-02-17 00:00:00,Veterinarian,United Arab Emirates,FEMALE,Dog,Greyhound,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Collapse NOS (see also Cardio-vascular and Neurological disorders), Low platelet count",1,1,
AUS-BIAHPV1P-24AU001468,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000523036&_xt=AER&_xf=pdf""> AER </a>",2025-03-19 00:00:00,Other,Australia,MALE,Dog,Shepherd Dog - German,"Anarthron 100 mg/ml Solution for Injection, CLINDAMYCIN 75 mg tablety, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Clindamycin 75mg, Clindamycin, 75mg, Tableta, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Tramadog 50 mg tablet for dogs","Abnormal posture NOS, Cyst NOS, Drooling, Frequent urination, Inappetence, Increased respiratory rate, Laboured breathing, Less social, Lethargy (see also Central nervous system depression in Neurological), Limb weakness, Malaise, Muscle shaking, Muscle wasting, Pain NOS, Persistent infection, Polydipsia, Proprioception deficit, Quiet, Reluctant to move, Skin scab, Skin sore, Sleep disturbance NOS, Snoring, Stiff gait, Unable to jump, Uncomfortable",1,1,
AUS-FRVIRBAC-VB-20240710-03259,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000495967&_xt=AER&_xf=pdf""> AER </a>",2025-01-24 00:00:00,Veterinarian,Australia,MALE,Dog,Australian Kelpie,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Suprelorin 4.7 mg  - Implant, Suprelorin 9.4 mg  - Implant","Lethargy (see also Central nervous system depression in Neurological), Male infertility NOS, Reduced testicle size, Weight gain",1,1,
AUS-MERCKMSD-2025-AU-00169,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000505898&_xt=AER&_xf=pdf""> AER </a>",2025-02-13 00:00:00,Other,Australia,FEMALE,Dog,"Crossbred Canine/dog, Terrier - Jack Russell","Bravecto 250 mg  Chewable tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, MILPRO 12.5 MG/125 MG FILM-COATED TABLETS FOR DOGS, MILPRO 16 MG/40 MG FILM-COATED TABLETS FOR CATS, MILPRO 2.5 MG/25 MG FILM-COATED TABLETS FOR SMALL DOGS AND PUPPIES, MILPRO 4 MG/10 MG FILM-COATED TABLETS FOR SMALL CATS AND KITTENS, Milpro Chewy 12.5 mg / 125.0 mg chewable tablets for dogs, Milpro Chewy 2.5 mg / 25.0 mg chewable tablets for small dogs and puppies, Milpro Chewy 25.0 mg / 250.0 mg chewable tablets for large dogs",Vomiting,1,1,
AUS-MERCKMSD-2025-AU-00198,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000505889&_xt=AER&_xf=pdf""> AER </a>",2025-02-13 00:00:00,Veterinarian,Australia,MALE,Dog,Retriever - Labrador,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Mometamax Ultra 8.6 mg/ml + 2.6 mg/ml + 2.1 mg/ml - Ear drops, suspension","Depressed ocular reflex, Drooping eyelid, Droopy ear, Droopy lower lip, Ear pain, Head shake - ear disorder, Head tilt - ear disorder",1,1,
AUS-ZOETISPV-2023-AU-00686,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000494909&_xt=AER&_xf=pdf""> AER </a>",2025-01-22 00:00:00,Veterinarian,Australia,FEMALE,Dog,"Retriever - Labrador, Terrier - Bull - Staffordshire","Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Balance impaired, Hind limb paresis, Limb weakness",1,1,
AUS-ZOETISPV-2023-AU-00720,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000494924&_xt=AER&_xf=pdf""> AER </a>",2025-01-22 00:00:00,Veterinarian,Australia,FEMALE,Dog,Crossbred Canine/dog,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection",Urinary incontinence,1,1,
AUS-ZOETISPV-2023-AU-00722,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000494899&_xt=AER&_xf=pdf""> AER </a>",2025-01-22 00:00:00,Veterinarian,Australia,FEMALE,Dog,Retriever - Labrador,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection",Enlarged lymph node (localised),1,1,
AUS-ZOETISPV-2023-AU-00835,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000494904&_xt=AER&_xf=pdf""> AER </a>",2025-01-22 00:00:00,Veterinarian,Australia,MALE,Dog,Spitz - German Pomeranian,"ACEPROMAZINE 10%/AGROSEED CANDILIDIS ενέσιμο διάλυμα 10 mg/ml για σκύλο και γάτα, Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, PROPALIN, PROPALIN 5% ΣΙΡΟΠΙ, Propalin Syrup","Alopecia, Diarrhoea, Flaking skin, Lack of hair regrowth",1,1,
AUS-ZOETISPV-2024-AU-00343,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000523600&_xt=AER&_xf=pdf""> AER </a>",2025-03-20 00:00:00,Animal owner,Australia,MALE,Dog,Rottweiler,"Butorgesic 10 mg/ml Injektionslösung für Pferde, Hunde und Katzen, Butorgesic 10 mg/ml solution for injection, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Anorexia, Death by euthanasia, Malaise, Muscle weakness NOS, Unable to rise, Unsteady gait, Walking difficulty, Weight loss",1,1,1
